Pastor_Name,Church_Name,Address,Website,Contact,YouTube,Size,Depth,Style,Environment,Gender,Source
Craig Groeschel,Life.Church,"4400 E 2nd St, Edmond, OK 73034",https://www.life.church,https://www.life.church/contact,https://www.youtube.com/@life.church,"Over 70,000 weekly online+in-person (major multi-site reach)",practical,conversational,contemporary,male,https://www.life.church/
Beth Moore,Living Proof Ministries,,https://www.lproof.org/,https://www.lproof.org/contact,https://www.youtube.com/channel/UCd1k3z9-5KjNf8WQyqV7e9A,National speaker/teacher; large national audience,deep,energetic,traditional,female,https://www.lproof.org/
Steven Furtick,Elevation Church,"6105 Albemarle Rd, Charlotte, NC 28212",https://www.elevationchurch.org/,https://www.elevationchurch.org/connect/,https://www.youtube.com/@elevationchurch,"~25,000+ weekly (multi-site)",practical,energetic,contemporary,male,https://www.elevationchurch.org/
Andy Stanley,North Point Community Church,"4600 North Point Pkwy, Alpharetta, GA 30022",https://northpoint.org/,https://northpoint.org/contact/,https://www.youtube.com/@NorthPointCommunityChurch,"30,000+ weekly across campuses",balance,conversational,contemporary,male,https://northpoint.org/
Rick Warren,Saddleback Church,"1 Saddleback Pkwy, Lake Forest, CA 92630",https://saddleback.com/,https://saddleback.com/contact/,https://www.youtube.com/@saddlebackchurch,Tens of thousands weekly across campuses historically,practical,conversational,blended,male,https://saddleback.com/
Joel Osteen,Lakewood Church,"3700 Southwest Fwy, Houston, TX 77027",https://www.lakewoodchurch.com/,https://www.lakewoodchurch.com/contact/,https://www.youtube.com/@JoelOsteen,"Over 40,000 weekly (historical)",practical,energetic,contemporary,male,https://www.lakewoodchurch.com/
T.D. Jakes,The Potter's House,"6777 Montgomery Rd, Dallas, TX 75214",https://tdjakes.org/,https://tdjakes.org/contact/,https://www.youtube.com/@tdjakes,Large megachurch; tens of thousands weekly,balance,energetic,blended,male,https://tdjakes.org/
John Piper,Desiring God,"Minneapolis, MN (Desiring God based)",https://www.desiringgod.org/,https://www.desiringgod.org/about/,https://www.youtube.com/@desiringgod,Influential teacher with large online reach,deep,energetic,traditional,male,https://www.desiringgod.org/
Joyce Meyer,Joyce Meyer Ministries,"Enterprise, MO (HQ)",https://joycemeyer.org/,https://joycemeyer.org/contact/,https://www.youtube.com/@JoyceMeyerMinistriesOfficial,Large international TV & church reach,practical,conversational,contemporary,female,https://joycemeyer.org/
Francis Chan,We Are Church / Cornerstone,,https://www.francischan.org/,https://www.francischan.org/contact/,https://www.youtube.com/c/FrancisChan,National speaker/teacher; influential author and teacher,deep,energetic,contemporary,male,https://www.francischan.org/
Louie Giglio,Passion City Church,"5701 Peachtree Rd, Atlanta, GA 30342 (approx)",https://passioncitychurch.com/,https://passioncitychurch.com/contact/,https://www.youtube.com/@passioncitychurch,Large young-adult focused ministry,balance,energetic,contemporary,male,https://passioncitychurch.com/
Robert Barron,Word on Fire,"Chicago, IL (Word on Fire HQ)",https://www.wordonfire.org/,https://www.wordonfire.org/contact/,https://www.youtube.com/@wordonfire,Prominent Catholic teacher with global reach,deep,reflective,traditional,male,https://www.wordonfire.org/
Alistair Begg,Parkside Church / Truth For Life,"1113 Old River Rd, Glenwillow, OH 44139 (Parkside)",https://parksidechurch.com/,https://parksidechurch.com/contact/,https://www.youtube.com/@TruthForLife,Broad radio and teaching reach,deep,calm and reflective,traditional,male,https://parksidechurch.com/
Matt Chandler,The Village Church,"3711 Village Pkwy, Flower Mound, TX 75022",https://www.thevillagechurch.org/,https://www.thevillagechurch.org/contact/,https://www.youtube.com/@TheVillageChurch,Multi-site regional reach; thousands weekly,deep,calm and reflective,traditional,male,https://www.thevillagechurch.org/
John MacArthur,Grace Community Church,"13248 Roscoe Blvd, Sun Valley, CA 91352",https://www.gcc-cbc.org/,https://www.gcc-cbc.org/contact/,https://www.youtube.com/@GraceToYou,Large historic megachurch (thousands weekly),deep,calm and reflective,traditional,male,https://www.gty.org/
Mark Batterson,National Community Church,"535 8th St SE, Washington, DC 20003",https://national.cc/,https://national.cc/contact/,https://www.youtube.com/@nationalcommunitychurch,Large DC-area church; multi-site influence,balance,conversational,contemporary,male,https://national.cc/
Michael Todd,Transformation Church,"11855 East Walker Ave, Suite 100, Charlotte, NC (HQ)",https://transformationchurch.com/,https://transformationchurch.com/contact/,https://www.youtube.com/@transformationchurch,Large multi-site (tens of thousands),practical,energetic,contemporary,male,https://transformationchurch.com/
Greg Laurie,Harvest Christian Fellowship,"Doreen F. Chapin, Fountain Valley, CA (main)",https://harvest.org/,https://harvest.org/contact/,https://www.youtube.com/@HarvestChristianFellowship,Large evangelical outreach,balance,conversational,blended,male,https://harvest.org/
Jack Hibbs,Calvary Chapel Chino Hills,"13800 Peyton Dr, Chino Hills, CA 91709",https://www.calvarychapelchinohills.org/,https://www.calvarychapelchinohills.org/contact,https://www.youtube.com/@CalvaryChapelChinoHills,Large regional megachurch,balance,conversational,blended,male,https://www.calvarychapelchinohills.org/
Robert Morris,Gateway Church,"101 S Kimball Ave, Southlake, TX 76092",https://gatewaypeople.com/,https://gatewaypeople.com/contact/,https://www.youtube.com/@gatewaychurch,Large multi-site (tens of thousands),practical,conversational,contemporary,male,https://gatewaypeople.com/
Jentezen Franklin,Free Chapel,"3000 Washington Ave NW, Gainesville, GA 30501",https://freechapel.org/,https://freechapel.org/contact/,https://www.youtube.com/@freechapel,Large multi-site (tens of thousands),practical,energetic,contemporary,male,https://freechapel.org/
Christine Caine,A21 / Propel Women,Based in Sydney; US events,https://christinecaine.com/,https://christinecaine.com/contact/,https://www.youtube.com/@christinecaine,International teacher/speaker (large events),practical,energetic,contemporary,female,https://christinecaine.com/
Nick Vujicic,Life Without Limbs,Based in Southern California,https://www.lifewithoutlimbs.org/,https://www.lifewithoutlimbs.org/contact/,https://www.youtube.com/@NickVujicic,Large speaker ministry internationally,practical,energetic,contemporary,male,https://www.lifewithoutlimbs.org/
John Ortberg,Menlo Church (former),"950 Santa Cruz Ave, Menlo Park, CA 94025",https://menlo.church/,https://menlo.church/contact,https://www.youtube.com/@menlochurch,Large Bay Area church (thousands),balance,conversational,contemporary,male,https://menlo.church/
Tim Keller,Redeemer Presbyterian Church,"1359 Broadway, New York, NY 10018 (Redeemer offices)",https://redeemer.com/,https://redeemer.com/about/contact/,https://www.youtube.com/@RedeemerNYC,Influential urban ministry (thousands),deep,calm and reflective,traditional,male,https://redeemer.com/
Anne Graham Lotz,AnGeL Ministries,"Raleigh, NC (based)",https://annegrahamlotz.org/,https://annegrahamlotz.org/contact/,https://www.youtube.com/@AnneGrahamLotz,Prominent Bible teacher and speaker,deep,calm and reflective,traditional,female,https://annegrahamlotz.org/
Priscilla Shirer,Going Beyond Ministries,"Dallas, TX (events)",https://priscillashirer.com/,https://priscillashirer.com/contact/,https://www.youtube.com/@PriscillaShirer,"Large Bible teacher, speaker, author",deep,energetic,traditional,female,https://priscillashirer.com/
Shane Claiborne,The Simple Way,"1501 S 5th St, Philadelphia, PA 19147 (neighborhood)",https://www.thesimpleway.org/,https://www.thesimpleway.org/contact/,https://www.youtube.com/@thesimpleway,Grassroots community ministry,practical,conversational,blended,male,https://www.thesimpleway.org/
Tony Evans,Oak Cliff Bible Fellowship,"410 S Beckley Ave, Dallas, TX 75203",https://tonyevans.org/,https://tonyevans.org/contact/,https://www.youtube.com/@TonyEvansMinistries,Large influential urban church and ministry,deep,calm and reflective,traditional,male,https://tonyevans.org/
Ed Young,Second Baptist Church,"6400 Woodway Dr, Houston, TX 77057",https://www.second.org/,https://www.second.org/contact/,https://www.youtube.com/@SecondBaptist,Large megachurch in Houston,practical,energetic,contemporary,male,https://www.second.org/
Creflo Dollar,World Changers Church International,"770 Cr 201, College Park, GA 30349",https://creflodollarministries.org/,https://creflodollarministries.org/contact/,https://www.youtube.com/@CrefloDollar,Large international ministry,practical,energetic,contemporary,male,https://creflodollarministries.org/
John Hagee,Cornerstone Church / John Hagee Ministries,"12400 State Hwy 151, San Antonio, TX 78251",https://www.jhm.org/,https://www.jhm.org/contact/,https://www.youtube.com/@jhmorg,Large media ministry,practical,energetic,traditional,male,https://www.jhm.org/
Tony Campolo,Professor/evangelist (emeritus),,https://tonycampolo.org/,https://tonycampolo.org/contact/,,Influential evangelical speaker and author,deep,conversational,traditional,male,https://tonycampolo.org/
David Jeremiah,Shadow Mountain Community Church,"2100 Greenfield Dr, El Cajon, CA 92019",https://www.davidjeremiah.org/,https://www.davidjeremiah.org/contact/,https://www.youtube.com/@DavidJeremiahMinistries,Large media ministry (radio/TV),deep,calm and reflective,traditional,male,https://www.davidjeremiah.org/
Mark Driscoll,The Trinity Church (Mars Hill legacy),"Seattle, WA (various)",https://thetrinitychurchseattle.com/,https://thetrinitychurchseattle.com/contact,https://www.youtube.com/@thetrinitychurch,Regional church leadership; controversial history,deep,energetic,contemporary,male,https://thetrinitychurchseattle.com/
Russell Moore,Public Theology / The Public Theology Project,,https://thepublictheologyproject.org/,https://thepublictheologyproject.org/,,Public theologian and commentator,deep,calm and reflective,traditional,male,https://thepublictheologyproject.org/
John Eldredge,Ransomed Heart Ministries,"Colorado Springs, CO (based)",https://www.ransomedheart.com/,https://www.ransomedheart.com/contact/,https://www.youtube.com/@RansomedHeart,Author-teacher with national reach,deep,reflective,traditional,male,https://www.ransomedheart.com/
Bishop Michael Curry,The Episcopal Church (Presiding Bishop),"815 Second Ave, New York, NY (Episcopal Church Center)",https://www.episcopalchurch.org/,https://www.episcopalchurch.org/about/contact/,https://www.youtube.com/@episcopalchurch,National church leadership (millions as denomination),practical,energetic,traditional,male,https://www.episcopalchurch.org/
Francis Chan (duplicate),We Are Church,,https://www.francischan.org/,https://www.francischan.org/contact/,https://www.youtube.com/c/FrancisChan,National speaker/teacher,deep,energetic,contemporary,male,https://www.francischan.org/
Bethany Hamilton (not pastor),Speaker/author,,https://bethanyhamilton.com/,https://bethanyhamilton.com/contact/,,Public speaker,practical,conversational,contemporary,female,https://bethanyhamilton.com/
Andy Stanley (duplicate),North Point Community Church,"4600 North Point Pkwy, Alpharetta, GA 30022",https://northpoint.org/,https://northpoint.org/contact/,https://www.youtube.com/@NorthPointCommunityChurch,"30,000+ weekly across campuses",balance,conversational,contemporary,male,https://northpoint.org/
S. M. Lockridge (legacy),Calvary Baptist Church (legacy),,https://en.wikipedia.org/wiki/Samuel_M._Lockridge,,https://www.youtube.com/watch?v=7Tg6c6z9sck,Historic influential preacher (legacy),deep,energetic,traditional,male,https://en.wikipedia.org/wiki/Samuel_M._Lockridge
Paula White,Paula White Ministries,"Orlando, FL (events)",https://paulawhite.org/,https://paulawhite.org/contact,https://www.youtube.com/@PaulaWhite,National televangelist and speaker,practical,energetic,contemporary,female,https://paulawhite.org/
Anne Lamott (author),Author/speaker,,https://annelamott.com/,,,Author and speaker,reflective,conversational,traditional,female,https://annelamott.com/
Kathryn Kuhlman (legacy),Healing ministry (legacy),,https://en.wikipedia.org/wiki/Kathryn_Kuhlman,,,Historic evangelist/teacher (legacy),practical,energetic,traditional,female,https://en.wikipedia.org/wiki/Kathryn_Kuhlman
